ID,Mass,RT,22-72b1-silique-NL-0V,22-72b1-silique-NL-10V,22-72b1-silique-NL-15V,22-72b1-silique-NL-20V,22-72b1-silique-NL-25V,22-72b1-silique-NL-30V,22-72b1-silique-NL-35V,22-72b1-silique-NL-40V,22-72b1-silique-NL-45V,22-72b1-silique-NL-0V
158,774.4549,14.21,491526.8304,613630.254,547749.3126,346384.9567,136762.6805,45115.79947,32897.23202,28320.43849,30269.57305,491526.8304
159,118.0267,1.39,208974.9298,114488.2421,98279.60054,93786.04924,82808.75967,75036.38479,61969.35334,53083.87455,45392.71245,208974.9298
160,408.1629,2.17,131320.6307,7771.839455,1,1,1,1,1,1,1,131320.6307
161,741.4983,5.26,247034.2952,245959.9902,234546.7065,155192.8691,61091.61201,15190.73633,5358.674805,4222.31543,4038.065674,247034.2952
162,1063.7605,5.93,277930.8125,267389.3908,256983.3438,230545.4375,199053.5448,119652.0885,48193.75,16888.67188,5182.490485,277930.8125
163,496.2433,6.49,153644.7374,172054.4271,157669.4012,102745.4574,62581.49796,46365.26521,26546.48427,40208.51748,35530.47605,153644.7374
164,418.1473,3.16,246107.8845,4710.172222,1,1271.77406,1408.733111,1,1354.205444,1,1,246107.8845
165,159.986,0.81,137372.2885,256326.25,219011.3125,152981.7344,160907.7969,161743.5625,162898.25,159613.1094,170966.1875,137372.2885
166,279.074,3.47,114513.913,105549.254,158257.7742,190467.2658,196955.8569,182891.8057,174351.6541,157815.1743,132515.0203,114513.913
167,462.2381,10.99,605524.9823,559356.6267,326499.3133,165337.5732,130439.0692,139543.5927,127436.0394,112264.0128,98183.06403,605524.9823
168,138.0317,1.77,123017.1982,263055.6496,261162.9521,249115.9295,205448.1227,155004.7182,117159.2959,84903.64478,63036.72877,123017.1982
169,484.0761,5.32,213183.0811,7332.796387,3693.753418,1906.989076,1662.409284,1271.827703,1,1,1,213183.0811
170,196.0734,3.31,101608.319,339606.3393,378299.2776,395953.2639,363790.7877,322405.8845,273184.6317,240831.4212,208146.164,101608.319
171,673.148,3.94,210215.9008,32890.1036,4687.963871,1,2421.866189,2705.850362,2092.033667,1,1,210215.9008
172,292.2036,13.29,1,16885.84581,39046.51847,82230.80739,128815.6628,1,152417.3495,1,1,1
173,964.5385,13.99,342800.6047,398566.2461,395883.085,362470.9269,298902.3896,172546.8034,82844.0921,47537.57975,37418.13715,342800.6047
174,133.9306,21.25,112027.3515,8037.334647,2500.880127,1253.516589,1247.246582,1015.572327,1,1,1,112027.3515
175,804.5011,14.75,259955.8867,444490.1702,499674.5479,356908.6777,153391.5628,60747.82805,30110.80365,23872.50808,25538.18975,259955.8867
176,792.5015,17.98,589080.3917,463908.5891,180914.5595,28923.28945,4407.024555,4603.295674,4319.835458,6087.713629,5650.971088,589080.3917
177,112.016,1.24,160150.2972,350479.5345,279054.411,220391.1825,191302.0428,167908.2405,146188.9951,133042.2798,116547.3369,160150.2972
178,206.0576,3.66,55419.89853,212200.8355,379733.3171,425258.7702,377515.9048,276454.1594,183206.4597,152447.6628,144984.8897,55419.89853
179,620.2629,15.73,243283.8403,274662.1752,291429.0872,280057.8625,221872.1504,200600.1631,192544.8638,208786.5166,221400.7695,243283.8403
180,460.2227,10.39,749558.4838,647935.3395,338964.4399,167857.9557,180697.194,181326.7392,178624.704,185954.9069,135097.8528,749558.4838
181,431.0976,3.63,1,1,1,1,22660.33451,93618.68165,213156.5965,359007.4504,404167.6306,1
182,984.5631,13.67,305347.7807,174327.4279,79839.5417,30347.93658,27420.29481,24871.29019,16588.6632,15073.43602,9295.707872,305347.7807
