ID,Mass,RT,2-cad4572b1-Sili-1,2-cad4572b1-Sili-2,2-cad4572b1-Sili-3,2-cad4572b1-Sili-4,2-cad4572b1-Sili-6,2-Col-Sili-1,2-Col-Sili-2,2-Col-Sili-3,2-Col-Sili-4,2-Col-Sili-5
4910,1734.4873,4.74,21552.21534,20205.25898,20630.27541,23048.50837,20471.14975,23242.03998,25015.11611,26432.52463,24672.14947,26273.75619
4911,334.126,4.22,11116.55937,8254.029637,8215.241352,10582.8452,9084.08402,3682.992468,3360.323156,2763.052095,4434.618365,4099.292657
4912,617.1279,3.24,4838.958493,4386.045749,6816.95423,4272.093007,7420.108722,13024.9534,7819.820636,29044.95065,12272.31259,14289.57929
4913,706.3403,7.64,9667.486238,21178.7358,16518.93188,8361.083787,11951.4163,1,1533.399571,3190.507526,1482.466698,2327.772595
4914,654.268,12.19,33244.85466,38765.2138,30820.72619,25042.67949,23606.28918,8201.702961,7419.012128,8454.423815,8473.671042,7760.549481
4915,209.9436,21.28,5581.682904,6622.296875,5625.89209,7130.729492,5660.742676,6218.999023,6851.366699,6074.501953,6946.571777,6875.283691
4916,609.025,1.03,4398.644033,4775.362463,9757.363965,5797.304886,9621.737906,10866.14698,13748.46543,8630.148329,11406.67052,7485.492786
4917,501.2791,3.8,17900.53906,18695.62085,15120.87988,24411.63086,13291.97168,1502.103957,2926.255371,4787.075195,1755.830136,3085.24707
4918,694.3915,15.93,8105.983824,6245.000037,8350.612789,7810.94956,10483.09981,19042.58508,19899.43111,16472.57248,17579.26959,18404.63325
4919,394.1024,3.31,107891.9227,104066.4684,126763.2977,101008.2301,122518.9236,3513.515137,3668.510296,4084.014648,8350.735352,4104.306152
4920,606.2304,6.39,18623.08629,15692.87568,23120.84389,16681.83043,24218.87777,7903.559029,10209.55458,9518.720163,8254.215131,8746.242896
4921,398.123,0.91,29084.56339,30810.57821,21644.1705,22506.26809,23619.64158,6106.571801,5479.352113,6588.687664,5819.671824,6135.156173
4922,486.2466,8.66,87772.03294,91931.35357,93182.94961,103301.4374,72621.33554,13495.4558,15330.21149,12884.12631,16059.47487,15220.56288
4923,174.0891,4.8,10248.38674,12659.94531,14098.02441,11072.72698,12557.14648,6031.306152,4084.776367,3171.620117,4136.897949,2348.366949
4924,312.2299,11.84,11133.44105,10458.26502,9297.733815,17047.0853,8848.685559,2651.161133,2890.878715,7804.210048,1633.947482,4480.859458
4925,129.0425,4.09,5469.821276,5298.56897,4882.249754,4732.011966,5481.784609,1256.614636,1322.445617,1268.012712,1477.011863,1
4926,650.1836,5.03,17801.11834,16490.5636,26564.99957,14057.83213,16818.22194,15195.22523,18084.05821,20375.93511,16248.49456,18682.50574
4927,404.2409,10.02,1,1,1,1,1276.906761,18018.81795,20082.11881,17478.54943,16110.11171,18420.23916
4928,308.1985,9.8,10412.50831,21553.86443,9825.758369,10601.54516,8604.892016,1048.079346,1149.271864,1568.992178,1055.593764,3157.969516
4929,532.2407,10.76,23083.72032,22997.51254,23719.78405,22349.13606,23833.03291,2400.95302,2313.597412,5966.907451,2409.295358,3930.584748
4930,338.0515,0.94,11642.92234,11801.88213,15208.26965,8917.684135,8103.617641,1397.30603,1,3001.586914,1549.247444,1404.586914
4931,370.1258,5.6,35927.39849,44153.48272,32427.00285,47979.15461,36858.10702,10938.19473,12166.39928,11207.7372,11073.41632,11865.93482
4932,870.4947,13.02,14302.22465,15230.06662,1,1,1,8693.273669,26165.08816,15421.55055,16393.4288,16943.35842
4933,168.042,5.03,4338.755115,4261.130412,3579.695091,5232.927205,4161.066565,3389.280694,3820.181174,3167.139116,3404.72918,3132.606244
4934,254.1001,9.96,5790.710104,5706.159146,5606.835082,4957.263014,5680.963882,1,1,1144.650314,1,1307.553026
4935,224.1045,6.16,1,1,1,1,1,1,1,1,1,1
4936,503.0064,2.68,1,1,1398.375854,1118.502808,1815.943115,39686.2567,24258.01113,17617.09834,28249.31077,25651.90745
4937,191.0614,2.86,12129.32176,13174.63513,12630.42871,13134.54956,9477.552867,3286.116214,3442.092109,3655.646787,3982.862196,3471.057399
4938,339.0955,2.03,29719.1322,25725.3624,45132.50398,27231.83218,36109.97813,31406.08656,37305.71201,40253.34991,41478.38354,41744.81021
4939,746.2049,5.9,22905.89971,17458.80976,20868.34788,26026.16732,24749.22891,2744.242088,1808.109907,2162.865477,2218.862529,2338.66705
4940,451.1253,7.62,7679.212632,6502.372357,8883.146575,4849.74295,7402.708873,8518.338514,13222.63458,19945.28513,13816.85412,20621.96417
4941,224.0682,5.88,6583.349774,5219.669801,6661.901832,4190.39586,1,2175.780508,1511.602012,2743.420874,1360.518372,2784.103656
4942,462.9588,5.69,12496.99609,12466.44922,15842.79688,13850.28711,16596.16602,2590.754384,3967.68042,2235.384766,3304.301025,3134.430176
4943,817.293,4.01,4082.891777,8656.169347,8175.036222,6958.418472,8140.46335,16107.94922,14732.03051,17698.6152,14489.5437,16593.3337
4944,1032.5856,11.18,1,1,20108.20326,22626.35328,1,5153.265967,1,12425.37305,1,11283.87915
4945,209.0446,3.15,2764.854342,1985.621396,1,1,2309.566092,1,1,1,1,1
